ZONE I=361 J=100 K=1
1.994795e+00 -5.951021e-01 -1.910945e-01 -4.922741e+02
2.003622e+00 -5.871238e-01 -1.910945e-01 -6.929521e+02
2.012262e+00 -5.791208e-01 -1.910945e-01 -5.416272e+02
2.020721e+00 -5.711078e-01 -1.910945e-01 -3.176309e+02
2.028999e+00 -5.630760e-01 -1.910945e-01 -2.727782e+02
2.037103e+00 -5.550356e-01 -1.910945e-01 -4.290974e+02
2.045034e+00 -5.469813e-01 -1.910945e-01 -6.835400e+02
2.052793e+00 -5.389120e-01 -1.910945e-01 -7.339707e+02
2.060383e+00 -5.308277e-01 -1.910945e-01 -3.612052e+02
2.067806e+00 -5.227284e-01 -1.910945e-01 -4.734747e+01
2.075070e+00 -5.146269e-01 -1.910945e-01 -1.155021e+01
2.082171e+00 -5.065105e-01 -1.910945e-01 -1.655580e+02
2.089114e+00 -4.983864e-01 -1.910945e-01 -5.539788e+02
2.095908e+00 -4.902633e-01 -1.910945e-01 -7.378694e+02
2.102547e+00 -4.821294e-01 -1.910945e-01 -6.272952e+02
2.109030e+00 -4.739799e-01 -1.910945e-01 -5.035001e+02
2.115363e+00 -4.658226e-01 -1.910945e-01 -5.004429e+02
2.121554e+00 -4.576657e-01 -1.910945e-01 -6.190184e+02
2.127606e+00 -4.495123e-01 -1.910945e-01 -7.567536e+02
2.133514e+00 -4.413503e-01 -1.910945e-01 -8.054272e+02
2.139280e+00 -4.331815e-01 -1.910945e-01 -6.327376e+02
2.144901e+00 -4.250001e-01 -1.910945e-01 -3.845496e+02
2.150384e+00 -4.168148e-01 -1.910945e-01 -2.857378e+02
2.155747e+00 -4.086432e-01 -1.910945e-01 -3.782565e+02
2.160975e+00 -4.004674e-01 -1.910945e-01 -5.799044e+02
2.166070e+00 -3.922862e-01 -1.910945e-01 -6.239156e+02
2.171034e+00 -3.841002e-01 -1.910945e-01 -4.287092e+02
2.175862e+00 -3.759055e-01 -1.910945e-01 -2.254293e+02
2.180564e+00 -3.677093e-01 -1.910945e-01 -1.898180e+02
2.185158e+00 -3.595296e-01 -1.910945e-01 -3.289316e+02
2.189621e+00 -3.513401e-01 -1.910945e-01 -5.612645e+02
2.193971e+00 -3.431591e-01 -1.910945e-01 -6.671743e+02
2.198190e+00 -3.349667e-01 -1.910945e-01 -5.626113e+02
2.202283e+00 -3.267695e-01 -1.910945e-01 -4.000488e+02
2.206266e+00 -3.185783e-01 -1.910945e-01 -3.379204e+02
2.210134e+00 -3.103892e-01 -1.910945e-01 -4.000307e+02
2.213896e+00 -3.022069e-01 -1.910945e-01 -5.702306e+02
2.217540e+00 -2.940210e-01 -1.910945e-01 -7.563059e+02
2.221064e+00 -2.858312e-01 -1.910945e-01 -8.509731e+02
